Accession_STEPdb_2.0,Protein_ID_STEPdb_2.0,1ary_Gene_Name,STEPdb_Universal_Name,Uniprot_Protein_Name,STEPdb_Sub-cellular_Location_Full Name,STEPdb_Sub-cellular_Location_Letter Code,sub-cellular_topology_group,SRP_interactome_Schibich2016,TF_interactome_Oh2011,SecA_interactome_Huber2016,DnaK_client_Calloni2012,DnaK_client_Arifuzzaman2016,DnaK_client_Niwa2009,TF_client_Martinez2009,TF_client_Butland2005,TF_client_Arifuzzaman2006,TF_client_Niwa2009,GroEL_client_Kerner2005,GroEL_client_Arifuzzaman2006,GroEL_client_Chapman2006,GroEL_client_Niwa2009,SecB_client_Stepdb1.0,SecB_client_additional_data
P00962,SYQ_ECOLI,glnS,"cytoplasmic protein, Glutamine--tRNA ligase GlnS",Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS),Cytoplasmic,A,Cytoplasmic,NO,YES,,YES,,,,,,,,,,,,
P00963,ASNA_ECOLI,asnA,"cytoplasmic protein, Aspartate--ammonia ligase AsnA",Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A),Cytoplasmic,A,Cytoplasmic,NO,YES,,YES,,,,,,,,,,,,
P00968,CARB_ECOLI,carB,"cytoplasmic peripheral IM protein, Carbamoyl-phosphate synthase large chain CarB",Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,,,,YES,,,,,YES,,,,
P02338,PRTL_ECOLI,tpr,"cytoplasmic protein, Protamine-like protein Tpr",Protamine-like protein,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P02358,RS6_ECOLI,rpsF,"ribosomal protein, 30S S6 RpsF","30S ribosomal protein S6 (Small ribosomal subunit protein bS6) [Cleaved into: 30S ribosomal protein S6, fully modified isoform; 30S ribosomal protein S6, non-modified isoform]","Cytoplasmic, Ribosomal","A,r",Cytoplasmic,NO,,,YES,YES,,,,,,,,,,,
P02359,RS7_ECOLI,rpsG,"ribosomal protein, 30S S7 RpsG",30S ribosomal protein S7 (Small ribosomal subunit protein uS7),"Cytoplasmic, Ribosomal","A,r",Cytoplasmic,,,,YES,,,YES,YES,,,,,,,,
P02413,RL15_ECOLI,rplO,"ribosomal protein, 50S L15 RplO",50S ribosomal protein L15 (Large ribosomal subunit protein uL15),"Cytoplasmic, Ribosomal","A,r",Cytoplasmic,NO,,YES,YES,,,YES,,,,,,,,,
P02916,MALF_ECOLI,malF,"integral IM protein (SEC in IM), Maltose/maltodextrin transport system permease MalF ",Maltose/maltodextrin transport system permease protein MalF,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P02918,PBPA_ECOLI,mrcA,"integral IM protein (SEC in IM), Penicillin-binding 1A MrcA",Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)],Integral Inner Membrane ,B,Integral Inner Membrane,,YES,,,,,,,,,,,,,,
P02919,PBPB_ECOLI,mrcB,"integral IM protein (SEC in IM), Penicillin-binding 1B MrcB",Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)],Integral Inner Membrane ,B,Integral Inner Membrane,YES,YES,,,,,,,,,,,,,,
P02920,LACY_ECOLI,lacY,"integral IM protein (SEC in IM), Lactose permease LacY",Lactose permease (Lactose-proton symport),Integral Inner Membrane ,B,Integral Inner Membrane,,YES,YES,,,,,,,,,,,,,
P02921,MELB_ECOLI,melB,"integral IM protein (SEC in IM), Melibiose carrier MelB",Melibiose carrier protein (Melibiose permease) (Melibiose transporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II),Integral Inner Membrane ,B,Integral Inner Membrane,,YES,YES,,,,,,,,,,,,,
P02924,ARAF_ECOLI,araF,"periplasmic protein (SEC through IM), L-arabinose-binding periplasmic AraF",L-arabinose-binding periplasmic protein (ABP),Periplasmic,G,Secreted,,,,,YES,,,,,,,,,,,
P02925,RBSB_ECOLI,rbsB,"periplasmic protein (SEC through IM), Ribose import binding RbsB ",Ribose import binding protein RbsB,Periplasmic,G,Secreted,,,,YES,YES,,,,,,YES,,,,,
P02929,TONB_ECOLI,tonB,"integral IM protein (SEC in IM), TonB",Protein TonB,Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,YES,,,,,,,,,,,,
P02930,TOLC_ECOLI,tolC,"OM b-barrel protein (SEC through IM, inserted in OM by BAM), TolC",Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC),Outer Membrane b-barrel protein,H,Secreted OM (H),,YES,,YES,,,,,,,,,,,YES,
P02931,OMPF_ECOLI,ompF,"OM b-barrel protein (SEC through IM, inserted in OM by BAM), OmpF",Outer membrane protein F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein IA) (Porin OmpF),Outer Membrane b-barrel protein,H,Secreted OM (H),NO,YES,,YES,,,,,YES,,YES,,,,,
P02932,PHOE_ECOLI,phoE,"OM b-barrel protein (SEC through IM, inserted in OM by BAM), PhoE",Outer membrane pore protein E,Outer Membrane b-barrel protein,H,Secreted OM (H),,,,,,,,,,,,,,,,
P02942,MCP1_ECOLI,tsr,"integral IM protein (SEC in IM), Methyl-accepting chemotaxis I Tsr",Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P02943,LAMB_ECOLI,lamB,"OM b-barrel protein (SEC through IM, inserted in OM by BAM), Maltoporin LamB",Maltoporin (Lambda receptor protein) (Maltose-inducible porin),Outer Membrane b-barrel protein,H,Secreted OM (H),,YES,,,,,,,,,,,,,,
P03004,DNAA_ECOLI,dnaA,"cytoplasmic nucleoid peripheral IM protein, Chromosomal replication initiator DnaA",Chromosomal replication initiator protein DnaA,"Cytoplasmic, Nucleoid, Peripheral inner membrane protein facing the cytoplasm","A,N,F1",Cytoplasmic,,YES,,,,,,,,,,YES,,,,
P03007,DPO3E_ECOLI,dnaQ,"nucleoid protein, DNA polymerase III subunit epsilon DnaQ",DNA polymerase III subunit epsilon (EC 2.7.7.7),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,YES,,YES,,,,,,,,,,
P03014,PINE_ECOLI,pinE,"nucleoid protein, Serine recombinase PinE ",Serine recombinase PinE (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinE) (DNA-invertase from lambdoid prophage e14) (Site-specific recombinase PinE),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,,,,,,,,,,,,,
P03018,UVRD_ECOLI,uvrD,"nucleoid protein, DNA helicase II UvrD",DNA helicase II (EC 3.6.4.12),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,,,,,,
P03023,LACI_ECOLI,lacI,"cytoplasmic peripheral IM protein, Lactose operon repressor LacI",Lactose operon repressor,"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
P03024,GALR_ECOLI,galR,"nucleoid protein, HTH-type transcriptional regulator GalR",HTH-type transcriptional regulator GalR (Galactose operon repressor),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,YES,,,,,,,,,,,,,
P03030,LYSR_ECOLI,lysR,"nucleoid protein, Transcriptional activator LysR",Transcriptional activator protein LysR,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,,,,,,
P03061,LPIV_ECOLI,ivbL,"cytoplasmic protein, ilv operon leader peptide IvbL",ilv operon leader peptide (ilvBN operon attenuator peptide),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P03813,YGEA_ECOLI,ygeA,"cytoplasmic protein, Putative racemase YgeA ",Putative racemase YgeA (EC 5.-.-.-),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,YES,YES,,,,
P03817,MIOC_ECOLI,mioC,"cytoplasmic protein, MioC",Protein MioC,Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P03819,KEFC_ECOLI,kefC,"integral IM protein (SEC in IM), Glutathione-regulated potassium-efflux system KefC ",Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter),Integral Inner Membrane ,B,Integral Inner Membrane,,YES,YES,,,,,,,,,,,,,
P03825,GSPB_ECOLI,gspB,"integral IM protein (SEC in IM), Putative general secretion pathway B GspB",Putative general secretion pathway protein B,Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P03835,INSG_ECOLI,insG,"cytoplasmic protein, Transposase InsG for insertion sequence element IS4 ",Transposase InsG for insertion sequence element IS4,Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,,,,,,,,
P03841,MALM_ECOLI,malM,"periplasmic protein (SEC through IM), Maltose operon periplasmic protein MalM",Maltose operon periplasmic protein,Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P03959,KDPA_ECOLI,kdpA,"integral IM protein (SEC in IM), Potassium-transporting ATPase potassium-binding subunit KdpA",Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain),Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P03960,KDPB_ECOLI,kdpB,"integral IM protein (SEC in IM), Potassium-transporting ATPase ATP-binding subunit KdpB",Potassium-transporting ATPase ATP-binding subunit (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain),Integral Inner Membrane ,B,Integral Inner Membrane,,,YES,,,,,,,,,,,,,
P03961,KDPC_ECOLI,kdpC,"integral IM protein (SEC in IM), Potassium-transporting ATPase KdpC subunit KdpC",Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P04036,DAPB_ECOLI,dapB,"cytoplasmic protein, 4-hydroxy-tetrahydrodipicolinate reductase DapB",4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P04079,GUAA_ECOLI,guaA,"cytoplasmic peripheral IM protein, GMP synthase GuaA",GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,YES,,YES,,,,,,,,,,,,
P04128,FIMA1_ECOLI,fimA,"Fimbrial extra-cellular peripheral OM protein (SEC through IM, chaperone usher export system over OM), Type-1 protein, A chain FimA","Type-1 fimbrial protein, A chain (Type-1A pilin)",Peripheral outer membrane protein facing the extra-cellular space,F4,Secreted,,,,,,,,,,,,,,,,
P04152,UMUC_ECOLI,umuC,"nucleoid protein, UmuC",Protein UmuC (DNA polymerase V) (Pol V),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,YES,,,YES,,,,,,,,YES,,
P04335,FRSA_ECOLI,frsA,"cytoplasmic protein, Esterase FrsA",Esterase FrsA (EC 3.1.-.-),Cytoplasmic,A,Cytoplasmic,,,YES,,,YES,,,,,,YES,,,,
P04391,OTC1_ECOLI,argI,"cytoplasmic protein, Ornithine carbamoyltransferase subunit I ArgI",Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3),Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,,,,,
P04395,3MG2_ECOLI,alkA,"nucleoid protein, DNA-3-methyladenine glycosylase 2 AlkA","DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)","Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,,,,,,,,,YES,,
P04425,GSHB_ECOLI,gshB,"cytoplasmic protein, Glutathione synthetase GshB",Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P04693,TYRB_ECOLI,tyrB,"cytoplasmic protein, Aromatic-amino-acid aminotransferase TyrB",Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107),Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,YES,,,,
P04805,SYE_ECOLI,gltX,"cytoplasmic protein, Glutamate--tRNA ligase GltX",Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS),Cytoplasmic,A,Cytoplasmic,NO,YES,,YES,,,,,,,,,,,,
P04816,LIVK_ECOLI,livK,"periplasmic protein (SEC through IM), Leucine-specific-binding LivK",Leucine-specific-binding protein (L-BP) (LS-BP),Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P04825,AMPN_ECOLI,pepN,"cytoplasmic peripheral IM protein, Aminopeptidase PepN",Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,YES,,,,,,,,,,,,
P04846,NLPA_ECOLI,nlpA,"IM lipoprotein (SEC through IM, inserted in OM by LOL), NlpA",Lipoprotein 28,Inner Membrane Lipoprotein,E,Secreted,,,,,YES,,,,,,,,,,,
P04949,FLIC_ECOLI,fliC,"Flagellar extra-cellular peripheral OM protein (Flagellum secreted), Flagellin FliC",Flagellin,Peripheral outer membrane protein facing the extra-cellular space,F4,Secreted,,,YES,,YES,,,,,,,,,,,
P04951,KDSB_ECOLI,kdsB,"cytoplasmic protein, 3-deoxy-manno-octulosonate cytidylyltransferase KdsB",3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P04968,ILVA_ECOLI,ilvA,"cytoplasmic protein, L-threonine dehydratase biosynthetic IlvA",L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase),Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,,,,,
P04982,RBSD_ECOLI,rbsD,"cytoplasmic protein, D-ribose pyranase RbsD",D-ribose pyranase (EC 5.4.99.62),Cytoplasmic,A,Cytoplasmic,,YES,,,,,,,,,,,,,,
P04983,RBSA_ECOLI,rbsA,"cytoplasmic peripheral IM protein, Ribose import ATP-binding RbsA ",Ribose import ATP-binding protein RbsA (EC 3.6.3.17),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,YES,,,,,,YES,,,,,,,
P04993,RECD_ECOLI,recD,"nucleoid protein, RecBCD enzyme subunit RecD ",RecBCD enzyme subunit RecD (EC 3.1.11.5) (Exodeoxyribonuclease V 67 kDa polypeptide) (Exodeoxyribonuclease V alpha chain) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,,,,YES,,,,,,YES,,YES,,
P04994,EX7L_ECOLI,xseA,"nucleoid protein, Exodeoxyribonuclease 7 large subunit XseA",Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,,,,,,,,,,,,,,
P04995,EX1_ECOLI,sbcB,"cytoplasmic protein, Exodeoxyribonuclease I SbcB",Exodeoxyribonuclease I (ExoI) (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase),Cytoplasmic,A,Cytoplasmic,,YES,,,,YES,,,,,,YES,,YES,,
P05020,PYRC_ECOLI,pyrC,"cytoplasmic protein, Dihydroorotase PyrC",Dihydroorotase (DHOase) (EC 3.5.2.3),Cytoplasmic,A,Cytoplasmic,,YES,YES,YES,,,,,,,YES,,,YES,,
P05041,PABB_ECOLI,pabB,"cytoplasmic protein, Aminodeoxychorismate synthase component 1 PabB",Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1),Cytoplasmic,A,Cytoplasmic,,,,YES,,,,,,,,,,,,
P05042,FUMC_ECOLI,fumC,"cytoplasmic peripheral IM protein, Fumarate hydratase class II FumC",Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,YES,,,,,,,,,,,
P05050,ALKB_ECOLI,alkB,"nucleoid protein, Alpha-ketoglutarate-dependent dioxygenase AlkB",Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,,,YES,,,,,,YES,,YES,,
P05052,APPY_ECOLI,appY,"nucleoid protein, HTH-type transcriptional regulator AppY",HTH-type transcriptional regulator AppY (M5 polypeptide),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,YES,,,,,,,,,,,,
P05055,PNP_ECOLI,pnp,"cytoplasmic peripheral IM protein, Polyribonucleotide nucleotidyltransferase Pnp",Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,NO,,YES,,,,,,,,YES,,,,,
P05100,3MG1_ECOLI,tag,"nucleoid protein, DNA-3-methyladenine glycosylase 1 Tag","DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)","Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,YES,,,,,,,,,,,,
P05194,AROD_ECOLI,aroD,"cytoplasmic protein, 3-dehydroquinate dehydratase AroD",3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1),Cytoplasmic,A,Cytoplasmic,,,YES,,,,,,,,,,,,,
P05458,PTRA_ECOLI,ptrA,"periplasmic protein (SEC through IM), Protease 3 PtrA",Protease 3 (EC 3.4.24.55) (Pitrilysin) (Protease III) (Protease pi),Periplasmic,G,Secreted,,,,,,,,,,,,,,,,
P05459,PDXB_ECOLI,pdxB,"cytoplasmic protein, Erythronate-4-phosphate dehydrogenase PdxB",Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290),Cytoplasmic,A,Cytoplasmic,,,,YES,YES,YES,,,,,,,,YES,,
P05523,FPG_ECOLI,mutM,"nucleoid protein, Formamidopyrimidine-DNA glycosylase MutM",Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,,,,YES,,,,,,,,,
P05637,APAH_ECOLI,apaH,"cytoplasmic protein, Bis(5'-nucleosyl)-tetraphosphatase ApaH","Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)",Cytoplasmic,A,Cytoplasmic,,YES,YES,,,YES,,,,,,,,,,
P05704,MCP3_ECOLI,trg,"integral IM protein (SEC in IM), Methyl-accepting chemotaxis III Trg",Methyl-accepting chemotaxis protein III (MCP-III) (Ribose and galactose chemoreceptor protein),Integral Inner Membrane ,B,Integral Inner Membrane,,,,,,,,,,,,,,,,
P05706,PTHA_ECOLI,srlB,"cytoplasmic peripheral IM protein, PTS system glucitol/sorbitol-specific EIIA component SrlB",PTS system glucitol/sorbitol-specific EIIA component (EIIA-Gut) (EIII-Gut) (Glucitol/sorbitol-specific phosphotransferase enzyme IIA component),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,,,,,,,,,,,,,
P05707,SRLD_ECOLI,srlD,"cytoplasmic protein, Sorbitol-6-phosphate 2-dehydrogenase SrlD",Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140) (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P05719,T1SK_ECOLI,hsdS,"cytoplasmic protein, Type-1 restriction enzyme EcoKI specificity HsdS",Type-1 restriction enzyme EcoKI specificity protein (S.EcoKI) (Type I restriction enzyme EcoKI specificity protein) (S protein),Cytoplasmic,A,Cytoplasmic,,YES,YES,,,,,,,,,,,,,
P05791,ILVD_ECOLI,ilvD,"cytoplasmic peripheral IM protein, Dihydroxy-acid dehydratase IlvD",Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,,,,,,,,,,,,,
P05793,ILVC_ECOLI,ilvC,"cytoplasmic peripheral IM protein, Ketol-acid reductoisomerase IlvC",Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,YES,,,,,,,,,,,,
P05804,BGLR_ECOLI,uidA,"cytoplasmic peripheral IM protein, Beta-glucuronidase UidA",Beta-glucuronidase (GUS) (EC 3.2.1.31) (Beta-D-glucuronoside glucuronosohydrolase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,,,,,,,,,,,,,
P05824,RECN_ECOLI,recN,"nucleoid protein, RecN",DNA repair protein RecN (Recombination protein N),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,YES,YES,YES,,,,,,,,,,,,
P05825,FEPA_ECOLI,fepA,"OM b-barrel protein (SEC through IM, inserted in OM by BAM), Ferrienterobactin receptor FepA",Ferrienterobactin receptor (Enterobactin outer-membrane receptor),Outer Membrane b-barrel protein,H,Secreted OM (H),,YES,,,,,,,,,,,,,,
P05827,ILVY_ECOLI,ilvY,"nucleoid protein, HTH-type transcriptional regulator IlvY",HTH-type transcriptional regulator IlvY,"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,,,,,,,,,,,,,
P05847,TTDA_ECOLI,ttdA,"cytoplasmic protein, TtdA",L(+)-tartrate dehydratase subunit alpha (L-TTD alpha) (EC 4.2.1.32),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,,,,,
P05852,TSAD_ECOLI,tsaD,"cytoplasmic protein, tRNA N6-adenosine threonylcarbamoyltransferase TsaD",tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD),Cytoplasmic,A,Cytoplasmic,,,,YES,,YES,,,,,,YES,,YES,,
P06129,BTUB_ECOLI,btuB,"OM b-barrel protein (SEC through IM, inserted in OM by BAM), Vitamin B12 transporter BtuB ",Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator),Outer Membrane b-barrel protein,H,Secreted OM (H),NO,YES,,,,,,,,,,,,,,
P06134,ADA_ECOLI,ada,"nucleoid protein, Bifunctional transcriptional activator/DNA repair enzyme Ada",Bifunctional transcriptional activator/DNA repair enzyme Ada (Regulatory protein of adaptive response) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) (Methylphosphotriester-DNA methyltransferase); Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (O6-methylguanine-DNA alkyltransferase)],"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,YES,,,,,,,,,,,,,
P06136,FTSQ_ECOLI,ftsQ,"integral IM protein (SEC in IM), Cell division FtsQ",Cell division protein FtsQ,Integral Inner Membrane ,B,Integral Inner Membrane,,YES,YES,,,,,,,,,,,,,
P06149,DLD_ECOLI,dld,"cytoplasmic peripheral IM protein, Quinone-dependent D-lactate dehydrogenase Dld",Quinone-dependent D-lactate dehydrogenase (EC 1.1.5.12) ((R)-lactate:quinone 2-oxidoreductase) (D-lactate dehydrogenase) (D-LDH) (Respiratory D-lactate dehydrogenase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,YES,,YES,,,,,,,,YES,,,,
P06282,CDH_ECOLI,cdh,"periplasmic protein (SEC through IM), CDP-diacylglycerol pyrophosphatase Cdh",CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase),Periplasmic,G,Secreted,,,YES,,,,,,,,,,,,,
P06609,BTUC_ECOLI,btuC,"integral IM protein (SEC-YidC in IM), Vitamin B12 import system permease BtuC ",Vitamin B12 import system permease protein BtuC,Integral Inner Membrane ,B,Integral Inner Membrane,YES,,YES,,,,,,,,,,,,,
P06610,BTUE_ECOLI,btuE,"cytoplasmic protein, Thioredoxin/glutathione peroxidase BtuE ",Thioredoxin/glutathione peroxidase BtuE (EC 1.11.1.15) (EC 1.11.1.9),Cytoplasmic,A,Cytoplasmic,,,,,,,,,,,,YES,,,,
P06611,BTUD_ECOLI,btuD,"cytoplasmic peripheral IM protein, Vitamin B12 import ATP-binding BtuD ",Vitamin B12 import ATP-binding protein BtuD (EC 3.6.3.33) (Vitamin B12-transporting ATPase),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm","A,F1",Cytoplasmic,,,,YES,,,,,,,,YES,,YES,,
P06612,TOP1_ECOLI,topA,"nucleoid protein, DNA topoisomerase 1 TopA",DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme),"Cytoplasmic, Nucleoid","A,N",Cytoplasmic,,,,YES,,,YES,,,,,,,,,
P06616,ERA_ECOLI,era,"ribosomal cytoplasmic peripheral IM protein, GTPase Era ",GTPase Era (ERA) (GTP-binding protein Era),"Cytoplasmic, Peripheral inner membrane protein facing the cytoplasm & ribosomal","A,F1,r",Cytoplasmic,,,,YES,,,,,,,,,,,,
P06709,BIRA_ECOLI,birA,"nucleoid & integral IM protein (SEC in IM), Bifunctional ligase/repressor BirA",Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase),"Integral Inner Membrane, Nucleoid","B,N",Integral Inner Membrane,,,,,,,,,,,,,,,,
